iter	Passed	Remaining
0	30	6130
1	35	3478
2	39	2564
3	43	2112
4	47	1835
5	51	1649
6	54	1516
7	58	1415
8	62	1335
9	66	1271
10	70	1218
11	74	1172
12	78	1132
13	82	1099
14	86	1068
15	90	1042
16	94	1019
17	98	996
18	102	976
19	106	958
20	110	941
21	115	932
22	119	919
23	123	904
24	127	891
25	131	878
26	135	865
27	138	853
28	142	842
29	146	830
30	150	820
31	154	810
32	158	800
33	161	790
34	165	781
35	169	772
36	173	764
37	177	756
38	181	748
39	185	740
40	188	732
41	192	725
42	196	718
43	200	710
44	204	703
45	208	696
46	211	689
47	215	682
48	219	676
49	223	670
50	227	663
51	231	657
52	234	651
53	238	645
54	242	639
55	246	633
56	250	627
57	253	621
58	257	616
59	261	609
60	265	604
61	268	598
62	272	592
63	276	587
64	280	581
65	283	576
66	287	570
67	291	565
68	294	559
69	298	554
70	302	549
71	306	544
72	309	539
73	313	533
74	317	529
75	321	524
76	325	519
77	328	514
78	332	509
79	336	504
80	340	499
81	343	494
82	347	489
83	351	484
84	354	480
85	358	475
86	362	470
87	366	466
88	369	461
89	373	456
90	377	451
91	381	447
92	384	442
93	388	438
94	392	433
95	395	428
96	399	424
97	403	419
98	407	415
99	411	411
100	414	406
101	418	402
102	422	397
103	425	393
104	434	392
105	438	388
106	441	384
107	445	379
108	449	375
109	453	370
110	456	366
111	460	361
112	464	357
113	468	353
114	471	348
115	475	344
116	479	339
117	482	335
118	486	331
119	490	326
120	494	322
121	497	318
122	501	313
123	505	309
124	509	305
125	512	301
126	516	296
127	520	292
128	524	288
129	528	284
130	531	280
131	535	275
132	539	271
133	542	267
134	546	263
135	550	258
136	553	254
137	557	250
138	561	246
139	565	242
140	568	237
141	572	233
142	576	229
143	579	225
144	583	221
145	587	217
146	591	213
147	594	209
148	598	204
149	602	200
150	606	196
151	609	192
152	613	188
153	617	184
154	621	180
155	624	176
156	628	172
157	632	168
158	636	164
159	639	159
160	643	155
161	647	151
162	650	147
163	654	143
164	658	139
165	661	135
166	666	131
167	670	127
168	674	123
169	678	119
170	682	115
171	685	111
172	689	107
173	693	103
174	696	99
175	700	95
176	704	91
177	708	87
178	711	83
179	715	79
180	719	75
181	723	71
182	726	67
183	730	63
184	734	59
185	738	55
186	741	51
187	745	47
188	751	43
189	756	39
190	770	36
191	779	32
192	784	28
193	793	24
194	803	20
195	816	16
196	825	12
197	837	8
198	846	4
199	857	0
