iter	RMSE
0	0.2219167944
1	0.2218017283
2	0.221696941
3	0.2216052424
4	0.2215217121
5	0.2214453804
6	0.2213786117
7	0.2213180881
8	0.2212512594
9	0.221192489
10	0.2211374092
11	0.2210803759
12	0.2210328675
13	0.2209799581
14	0.2209339378
15	0.2208900328
16	0.2208457306
17	0.2208076886
18	0.2207685932
19	0.2207305056
20	0.220701868
21	0.2206657338
22	0.2206316455
23	0.2205970659
24	0.2205696424
25	0.2205441816
26	0.2205180805
27	0.2204921707
28	0.2204702779
29	0.2204458432
30	0.2204072242
31	0.2203848149
32	0.2203555161
33	0.2203306361
34	0.2203056236
35	0.2202845451
36	0.2202643623
37	0.220236681
38	0.2202186144
39	0.2201896506
40	0.2201649575
41	0.2201454239
42	0.2201235725
43	0.2200924853
44	0.2200727504
45	0.2200508268
46	0.2200284028
47	0.2200075577
48	0.2199871329
49	0.2199694249
50	0.2199528094
51	0.2199269631
52	0.2199105069
53	0.2198827486
54	0.219867687
55	0.2198502186
56	0.2198311664
57	0.2198109854
58	0.2197955612
59	0.2197805478
60	0.2197623027
61	0.2197479485
62	0.2197323463
63	0.2197128719
64	0.2196855549
65	0.2196609028
66	0.2196416498
67	0.2196297827
68	0.2196094313
69	0.2195935263
70	0.219573356
71	0.2195452404
72	0.2195276703
73	0.2195155148
74	0.2195011661
75	0.2194877065
76	0.2194696976
77	0.2194544883
78	0.219443219
79	0.2194268677
80	0.2194139248
81	0.2193976691
82	0.2193756996
83	0.2193619826
84	0.2193473088
85	0.2193216084
86	0.2193078119
87	0.219287398
88	0.2192730126
89	0.2192551382
90	0.2192327525
91	0.2192119403
92	0.219198963
93	0.2191871805
94	0.2191739626
95	0.2191557975
96	0.2191398488
97	0.2191299985
98	0.2191160486
99	0.2190980526
100	0.2190844922
101	0.2190715617
102	0.2190571077
103	0.2190374101
104	0.2190156765
105	0.2190048524
106	0.2189840948
107	0.2189676875
108	0.2189477424
109	0.2189303639
110	0.2189174025
111	0.2189022418
112	0.218886808
113	0.218868238
114	0.218854021
115	0.2188435591
116	0.218828426
117	0.218812497
118	0.2187935069
119	0.2187823016
120	0.2187672187
121	0.2187505555
122	0.2187316363
123	0.2187181947
124	0.218708674
125	0.2186994144
126	0.2186846526
127	0.2186659892
128	0.2186507566
129	0.2186316544
130	0.2186150899
131	0.2185950037
132	0.2185811722
133	0.2185708717
134	0.2185585866
135	0.218543074
136	0.2185291956
137	0.2185166684
138	0.2185005313
139	0.2184873481
140	0.2184680026
141	0.2184492771
142	0.2184285649
143	0.2184192497
144	0.2184020254
145	0.2183894254
146	0.2183827488
147	0.2183688275
148	0.2183539561
149	0.218344103
150	0.2183285643
151	0.2183118567
152	0.2182970141
153	0.2182822578
154	0.2182670967
155	0.2182508866
156	0.2182389001
157	0.2182174254
158	0.218202904
159	0.2181848655
160	0.2181728536
161	0.218163877
162	0.2181486749
163	0.2181342253
164	0.2181166617
165	0.2181053015
166	0.2180920617
167	0.2180816178
168	0.2180671638
169	0.2180475407
170	0.2180321556
171	0.2180175672
172	0.2180049012
173	0.2179904968
174	0.2179772719
175	0.2179613462
176	0.2179459551
177	0.2179315686
178	0.2179194881
179	0.2179039955
180	0.2178911699
181	0.2178795901
182	0.2178650243
183	0.2178508403
184	0.2178391927
185	0.2178157864
186	0.2178014788
187	0.217789041
188	0.2177729703
189	0.217757161
190	0.2177487362
191	0.2177348291
192	0.2177228799
193	0.217710941
194	0.217698093
195	0.2176838215
196	0.2176709501
197	0.2176592382
198	0.2176487188
199	0.2176335792
