iter	Passed	Remaining
0	5	1097
1	9	936
2	13	863
3	16	829
4	20	800
5	24	782
6	27	771
7	31	762
8	35	750
9	38	739
10	42	731
11	46	728
12	50	720
13	53	714
14	57	708
15	61	704
16	64	698
17	68	691
18	72	687
19	76	685
20	79	680
21	85	695
22	89	692
23	93	688
24	97	683
25	101	678
26	108	692
27	111	686
28	115	682
29	119	676
30	123	671
31	126	666
32	130	661
33	134	655
34	138	651
35	141	645
36	145	640
37	149	635
38	153	632
39	158	634
40	162	629
41	165	622
42	169	617
43	172	610
44	175	604
45	178	599
46	182	592
47	185	587
48	190	588
49	194	584
50	197	578
51	201	573
52	204	567
53	209	565
54	212	561
55	216	555
56	219	551
57	223	546
58	226	541
59	229	536
60	233	531
61	236	525
62	239	520
63	242	514
64	245	510
65	249	506
66	254	505
67	257	500
68	260	495
69	263	490
70	266	484
71	270	480
72	273	475
73	276	471
74	280	466
75	283	462
76	286	458
77	289	453
78	293	448
79	296	444
80	299	439
81	302	435
82	305	430
83	309	426
84	312	422
85	315	418
86	318	413
87	322	409
88	325	405
89	328	401
90	333	399
91	337	396
92	341	392
93	344	388
94	347	383
95	352	382
96	355	377
97	359	373
98	362	369
99	365	365
100	368	361
101	372	357
102	375	353
103	378	349
104	381	345
105	385	341
106	388	337
107	391	333
108	395	330
109	400	327
110	404	324
111	407	320
112	410	316
113	414	312
114	417	308
115	420	304
116	423	300
117	426	296
118	431	294
119	435	290
120	438	286
121	441	282
122	445	278
123	448	274
124	451	270
125	454	267
126	458	263
127	461	259
128	464	255
129	467	251
130	471	248
131	474	244
132	477	240
133	481	237
134	484	233
135	487	229
136	491	225
137	494	222
138	497	218
139	500	214
140	504	210
141	507	207
142	511	203
143	514	199
144	517	196
145	520	192
146	523	188
147	527	185
148	530	181
149	533	177
150	536	174
151	539	170
152	543	166
153	546	163
154	549	159
155	552	155
156	555	152
157	559	148
158	562	145
159	565	141
160	568	137
161	572	134
162	575	130
163	581	127
164	585	124
165	588	120
166	591	116
167	595	113
168	598	109
169	602	106
170	605	102
171	608	99
172	612	95
173	615	91
174	618	88
175	623	84
176	627	81
177	630	77
178	634	74
179	638	70
180	641	67
181	644	63
182	647	60
183	651	56
184	654	53
185	658	49
186	661	45
187	664	42
188	668	38
189	671	35
190	674	31
191	678	28
192	681	24
193	685	21
194	688	17
195	691	14
196	695	10
197	698	7
198	701	3
199	706	0
